id,order_id,payment_method,amount
114,101,gift_card,1342
115,102,gift_card,383
116,103,bank_transfer,914
117,104,gift_card,1598
118,105,gift_card,494
119,106,credit_card,1955
120,107,coupon,863
121,108,coupon,479
122,109,coupon,602
123,110,coupon,797
124,111,gift_card,1690
125,112,coupon,112
126,113,credit_card,1405
127,114,coupon,702
128,115,coupon,446
129,116,bank_transfer,389
130,117,coupon,961
131,118,gift_card,757
132,119,coupon,90
133,120,gift_card,769
134,121,bank_transfer,1466
135,122,coupon,840
136,123,credit_card,949
137,124,bank_transfer,1297
138,125,credit_card,2953
139,126,bank_transfer,1457
140,127,coupon,64
141,128,coupon,565
142,129,gift_card,823
143,130,gift_card,910
144,131,bank_transfer,2244
145,132,credit_card,585
146,133,gift_card,974
147,134,gift_card,441
148,135,gift_card,154
149,136,credit_card,961
150,137,coupon,605
151,138,gift_card,1944
152,139,credit_card,1989
153,140,credit_card,2135
154,141,bank_transfer,212
155,142,bank_transfer,100
156,143,bank_transfer,1923
157,144,bank_transfer,1778
158,145,gift_card,48
159,146,gift_card,734
160,147,gift_card,1726
161,148,gift_card,25
162,149,coupon,978
163,150,coupon,524
164,151,credit_card,1473
165,152,bank_transfer,2107
166,153,credit_card,1901
167,154,gift_card,1693
168,155,bank_transfer,692
169,156,bank_transfer,1325
170,157,coupon,338
171,158,bank_transfer,1606
172,159,bank_transfer,893
173,160,credit_card,2647
174,161,coupon,423
175,162,coupon,543
176,163,credit_card,2929
177,164,gift_card,1947
178,165,gift_card,909
179,166,bank_transfer,2303
180,167,gift_card,1303
181,168,gift_card,1054
182,169,coupon,187
183,170,coupon,189
184,171,credit_card,1493
185,172,coupon,448
186,173,credit_card,1731
187,174,gift_card,1042
188,175,gift_card,690
189,176,credit_card,883
190,177,gift_card,1794
191,178,gift_card,115
192,179,gift_card,1811
193,180,gift_card,1646
194,181,coupon,239
195,182,bank_transfer,1643
196,183,bank_transfer,334
197,184,gift_card,1252
198,185,coupon,189
199,186,credit_card,388
200,187,bank_transfer,2390
201,188,bank_transfer,2623
202,189,bank_transfer,614
203,190,gift_card,1963
204,191,bank_transfer,1996
205,192,bank_transfer,1582
206,193,bank_transfer,1530
207,194,gift_card,530
208,195,coupon,412
209,196,coupon,519
210,197,coupon,79
211,198,bank_transfer,1700
212,199,coupon,846
213,200,gift_card,1000
214,201,gift_card,1305
215,202,coupon,991
216,203,bank_transfer,2083
217,204,bank_transfer,1600
218,205,bank_transfer,1084
219,206,gift_card,1087
220,207,bank_transfer,144
221,208,coupon,975
222,209,bank_transfer,2507
223,210,bank_transfer,1824
224,211,coupon,589
225,212,credit_card,967
226,213,coupon,312
227,214,coupon,199
228,215,bank_transfer,1612
229,216,bank_transfer,2562
230,217,bank_transfer,289
231,218,credit_card,1906
232,219,bank_transfer,1811
233,220,credit_card,471
234,221,bank_transfer,1319
235,222,gift_card,1194
236,223,bank_transfer,611
237,224,gift_card,108
238,225,bank_transfer,420
239,226,coupon,711
240,227,gift_card,609
241,228,credit_card,2428
242,229,gift_card,510
243,230,credit_card,1064
244,231,bank_transfer,715
245,232,gift_card,460
246,233,bank_transfer,242
247,234,gift_card,847
248,235,coupon,23
249,236,coupon,888
250,237,gift_card,1993
251,238,coupon,331
252,239,bank_transfer,2135
253,240,gift_card,1492
254,241,credit_card,1827
255,242,credit_card,946
256,243,coupon,12
257,244,gift_card,1814
258,245,bank_transfer,2055
259,246,gift_card,878
260,247,bank_transfer,2388
261,248,coupon,776
262,249,credit_card,1232
263,250,coupon,434
264,251,bank_transfer,485
265,252,coupon,352
266,253,coupon,133
267,254,credit_card,2150
268,255,coupon,20
269,256,bank_transfer,1232
270,257,coupon,114
271,258,credit_card,1378
272,259,bank_transfer,970
273,260,coupon,371
274,261,gift_card,951
275,262,bank_transfer,1895
276,263,bank_transfer,760
277,264,bank_transfer,920
278,265,bank_transfer,926
279,266,credit_card,2211
280,267,bank_transfer,2118
281,268,credit_card,1220
282,269,credit_card,2103
283,270,coupon,235
284,271,coupon,154
285,272,bank_transfer,1062
286,273,credit_card,993
287,274,bank_transfer,2008
288,275,coupon,84
289,276,credit_card,2416
290,277,gift_card,531
291,278,gift_card,496
292,279,gift_card,485
293,280,credit_card,163
294,281,coupon,534
295,282,credit_card,2026
296,283,bank_transfer,2458
297,284,credit_card,2861
298,285,gift_card,947
299,286,bank_transfer,1434
300,287,coupon,322
301,288,gift_card,1141
302,289,bank_transfer,235
