id,user_id,date,status
101,86,2018-04-09,returned
102,66,2018-04-10,completed
103,79,2018-04-11,completed
104,45,2018-04-12,return_pending
105,64,2018-04-13,returned
106,81,2018-04-14,completed
107,59,2018-04-15,completed
108,93,2018-04-16,returned
109,50,2018-04-17,return_pending
110,17,2018-04-18,returned
111,38,2018-04-19,placed
112,100,2018-04-20,return_pending
113,52,2018-04-21,return_pending
114,64,2018-04-22,completed
115,64,2018-04-23,shipped
116,89,2018-04-24,completed
117,32,2018-04-25,returned
118,82,2018-04-26,return_pending
119,100,2018-04-27,returned
120,59,2018-04-28,returned
121,5,2018-04-29,completed
122,46,2018-04-30,return_pending
123,31,2018-05-09,completed
124,68,2018-05-10,placed
125,5,2018-05-11,shipped
126,28,2018-05-12,returned
127,1,2018-05-13,return_pending
128,14,2018-05-14,shipped
129,11,2018-05-15,placed
130,18,2018-05-16,placed
131,86,2018-05-17,returned
132,97,2018-05-18,shipped
133,79,2018-05-19,returned
134,24,2018-05-20,shipped
135,94,2018-05-21,return_pending
136,38,2018-05-22,shipped
137,72,2018-05-23,returned
138,34,2018-05-24,shipped
139,98,2018-05-25,return_pending
140,97,2018-05-26,returned
141,45,2018-05-27,shipped
142,45,2018-05-28,placed
143,38,2018-05-29,completed
144,69,2018-06-08,shipped
145,27,2018-06-09,return_pending
146,46,2018-06-10,placed
147,92,2018-06-11,placed
148,10,2018-06-12,completed
149,76,2018-06-13,placed
150,76,2018-06-14,return_pending
151,26,2018-06-15,placed
152,84,2018-06-16,return_pending
153,9,2018-06-17,placed
154,62,2018-06-18,returned
155,73,2018-06-19,return_pending
156,63,2018-06-20,placed
157,99,2018-06-21,shipped
158,57,2018-06-22,completed
159,47,2018-07-08,return_pending
160,13,2018-07-09,return_pending
161,37,2018-07-10,placed
162,17,2018-07-11,completed
163,66,2018-07-12,completed
164,45,2018-07-13,completed
165,41,2018-07-14,completed
166,58,2018-07-15,placed
167,38,2018-07-16,placed
168,33,2018-07-17,shipped
169,73,2018-07-18,placed
170,74,2018-07-19,shipped
171,70,2018-07-20,returned
172,65,2018-07-21,completed
173,53,2018-07-22,returned
174,8,2018-07-23,placed
175,43,2018-07-24,returned
176,55,2018-07-25,returned
177,59,2018-07-26,placed
178,80,2018-07-27,returned
179,49,2018-07-28,completed
180,27,2018-07-29,placed
181,75,2018-07-30,returned
182,63,2018-07-31,shipped
183,27,2018-08-07,return_pending
184,72,2018-08-08,shipped
185,20,2018-08-09,returned
186,90,2018-08-10,returned
187,6,2018-08-11,returned
188,83,2018-08-12,returned
189,29,2018-08-13,shipped
190,9,2018-08-14,shipped
191,75,2018-08-15,completed
192,58,2018-08-16,returned
193,12,2018-08-17,shipped
194,75,2018-08-18,shipped
195,4,2018-08-19,returned
196,73,2018-08-20,returned
197,89,2018-08-21,return_pending
198,78,2018-08-22,placed
199,29,2018-08-23,completed
200,25,2018-08-24,returned
201,5,2018-08-25,shipped
202,67,2018-08-26,placed
203,40,2018-08-27,shipped
204,64,2018-09-06,returned
205,62,2018-09-07,return_pending
206,52,2018-09-08,return_pending
207,58,2018-09-09,returned
208,11,2018-09-10,return_pending
209,39,2018-09-11,completed
210,22,2018-09-12,shipped
211,16,2018-09-13,returned
212,72,2018-09-14,returned
213,15,2018-09-15,return_pending
214,36,2018-09-16,return_pending
215,10,2018-09-17,shipped
216,83,2018-09-18,completed
217,17,2018-09-19,return_pending
218,31,2018-09-20,return_pending
219,68,2018-09-21,completed
220,81,2018-09-22,returned
221,90,2018-09-23,placed
222,69,2018-09-24,returned
223,70,2018-09-25,placed
224,53,2018-09-26,return_pending
225,70,2018-09-27,returned
226,7,2018-09-28,return_pending
227,47,2018-09-29,returned
228,26,2018-09-30,returned
229,63,2018-10-06,returned
230,61,2018-10-07,placed
231,74,2018-10-08,placed
232,17,2018-10-09,shipped
233,54,2018-10-10,completed
234,71,2018-10-11,shipped
235,2,2018-10-12,returned
236,81,2018-10-13,returned
237,75,2018-10-14,return_pending
238,39,2018-10-15,placed
239,6,2018-10-16,placed
240,66,2018-10-17,shipped
241,44,2018-10-18,completed
242,17,2018-10-19,placed
243,49,2018-10-20,shipped
244,25,2018-10-21,returned
245,20,2018-10-22,returned
246,51,2018-10-23,shipped
247,3,2018-10-24,return_pending
248,94,2018-10-25,shipped
249,25,2018-10-26,returned
250,30,2018-10-27,placed
251,49,2018-10-28,return_pending
252,61,2018-10-29,shipped
253,55,2018-10-30,returned
254,80,2018-10-31,return_pending
255,71,2018-11-05,return_pending
256,85,2018-11-06,return_pending
257,76,2018-11-07,placed
258,44,2018-11-08,returned
259,34,2018-11-09,placed
260,3,2018-11-10,return_pending
261,88,2018-11-11,returned
262,93,2018-11-12,placed
263,45,2018-11-13,shipped
264,38,2018-11-14,return_pending
265,41,2018-11-15,completed
266,44,2018-11-16,return_pending
267,55,2018-11-17,returned
268,92,2018-11-18,placed
269,7,2018-11-19,shipped
270,65,2018-11-20,return_pending
271,88,2018-11-21,shipped
272,54,2018-11-22,completed
273,95,2018-11-23,returned
274,79,2018-11-24,completed
275,49,2018-11-25,shipped
276,76,2018-11-26,return_pending
277,39,2018-11-27,returned
278,90,2018-11-28,placed
279,75,2018-11-29,returned
280,58,2018-11-30,completed
281,88,2018-12-05,placed
282,70,2018-12-06,returned
283,11,2018-12-07,completed
284,30,2018-12-08,completed
285,83,2018-12-09,return_pending
286,31,2018-12-10,shipped
287,12,2018-12-11,placed
288,39,2018-12-12,completed
289,53,2018-12-13,completed
290,24,2018-12-14,returned
291,98,2018-12-15,returned
292,52,2018-12-16,shipped
293,17,2018-12-17,shipped
294,20,2018-12-18,shipped
295,90,2018-12-19,return_pending
296,79,2018-12-20,completed
297,83,2018-12-21,return_pending
298,69,2018-12-22,returned
299,81,2018-12-23,return_pending
300,37,2018-12-24,placed
301,59,2018-12-25,shipped
302,71,2018-12-26,returned
303,32,2018-12-27,returned
304,51,2018-12-28,return_pending
305,35,2018-12-29,returned
306,60,2018-12-30,returned
307,93,2018-12-31,placed
308,77,2019-01-04,returned
309,91,2019-01-05,completed
310,17,2019-01-06,returned
311,55,2019-01-07,shipped
312,63,2019-01-08,returned
313,97,2019-01-09,completed
314,50,2019-01-10,shipped
315,39,2019-01-11,placed
316,86,2019-01-12,return_pending
317,69,2019-01-13,placed
318,90,2019-01-14,completed
319,29,2019-01-15,return_pending
320,16,2019-01-16,completed
321,13,2019-01-17,returned
322,11,2019-01-18,completed
323,95,2019-01-19,completed
324,56,2019-01-20,returned
325,39,2019-01-21,placed
326,8,2019-01-22,placed
327,56,2019-01-23,returned
328,1,2019-01-24,returned
329,56,2019-01-25,shipped
330,84,2019-01-26,return_pending
331,29,2019-01-27,placed
332,91,2019-01-28,placed
333,45,2019-01-29,shipped
334,17,2019-01-30,placed
335,73,2019-01-31,return_pending
336,51,2019-02-03,completed
337,5,2019-02-04,completed
338,94,2019-02-05,placed
339,95,2019-02-06,shipped
340,35,2019-02-07,completed
341,29,2019-02-08,placed
342,33,2019-02-09,shipped
343,73,2019-02-10,placed
344,86,2019-02-11,shipped
345,68,2019-02-12,shipped
346,30,2019-02-13,completed
347,4,2019-02-14,placed
348,63,2019-02-15,return_pending
349,19,2019-02-16,placed
350,22,2019-02-17,returned
351,80,2019-02-18,returned
352,61,2019-02-19,return_pending
353,61,2019-02-20,placed
354,65,2019-02-21,completed
355,2,2019-02-22,returned
356,84,2019-02-23,returned
357,85,2019-02-24,return_pending
358,65,2019-02-25,completed
359,88,2019-03-05,placed
360,70,2019-03-06,placed
361,13,2019-03-07,shipped
362,88,2019-03-08,shipped
363,93,2019-03-09,shipped
364,94,2019-03-10,completed
365,24,2019-03-11,completed
366,36,2019-03-12,completed
367,32,2019-03-13,completed
368,68,2019-03-14,shipped
369,62,2019-03-15,placed
370,11,2019-03-16,completed
371,17,2019-03-17,placed
372,70,2019-03-18,returned
373,98,2019-03-19,completed
374,4,2019-03-20,shipped
375,65,2019-03-21,placed
376,42,2019-03-22,returned
377,98,2019-03-23,return_pending
378,47,2019-03-24,shipped
379,54,2019-03-25,returned
380,70,2019-03-26,completed
381,75,2019-03-27,placed
382,75,2019-03-28,return_pending
383,27,2019-03-29,completed
384,51,2019-03-30,placed
385,60,2019-03-31,completed
386,29,2019-04-04,returned
387,82,2019-04-05,placed
388,13,2019-04-06,returned
389,60,2019-04-07,placed
390,74,2019-04-08,completed
391,63,2019-04-09,completed
392,67,2019-04-10,placed
393,35,2019-04-11,completed
394,34,2019-04-12,placed
395,64,2019-04-13,returned
396,36,2019-04-14,return_pending
397,82,2019-04-15,placed
398,3,2019-04-16,placed
399,83,2019-04-17,return_pending
400,82,2019-04-18,placed
401,12,2019-04-19,returned
402,95,2019-04-20,returned
403,91,2019-04-21,return_pending
404,61,2019-04-22,return_pending
405,15,2019-04-23,return_pending
406,93,2019-04-24,placed
407,48,2019-04-25,returned
408,97,2019-04-26,returned
409,75,2019-04-27,return_pending
410,30,2019-04-28,return_pending
411,51,2019-04-29,shipped
412,22,2019-04-30,shipped
413,25,2019-05-04,shipped
414,76,2019-05-05,shipped
415,69,2019-05-06,placed
416,7,2019-05-07,shipped
417,59,2019-05-08,returned
418,32,2019-05-09,returned
419,62,2019-05-10,shipped
420,42,2019-05-11,completed
421,3,2019-05-12,completed
422,18,2019-05-13,placed
423,98,2019-05-14,return_pending
424,75,2019-05-15,returned
425,82,2019-05-16,shipped
426,7,2019-05-17,returned
427,95,2019-05-18,returned
428,28,2019-05-19,shipped
429,14,2019-05-20,completed
430,50,2019-05-21,completed
431,90,2019-05-22,shipped
432,66,2019-05-23,completed
433,71,2019-05-24,completed
434,83,2019-06-03,shipped
435,31,2019-06-04,placed
436,89,2019-06-05,completed
437,66,2019-06-06,placed
438,59,2019-06-07,shipped
439,49,2019-06-08,returned
440,16,2019-06-09,returned
441,35,2019-06-10,return_pending
442,11,2019-06-11,completed
443,68,2019-06-12,return_pending
444,71,2019-06-13,return_pending
445,63,2019-06-14,return_pending
446,48,2019-06-15,return_pending
447,45,2019-06-16,placed
448,34,2019-06-17,return_pending
449,23,2019-06-18,shipped
450,98,2019-06-19,returned
451,57,2019-06-20,placed
452,43,2019-06-21,shipped
453,28,2019-06-22,placed
454,32,2019-06-23,shipped
455,48,2019-06-24,shipped
456,45,2019-06-25,returned
457,31,2019-06-26,returned
458,80,2019-06-27,shipped
459,46,2019-06-28,returned
460,98,2019-06-29,shipped
461,13,2019-06-30,returned
462,43,2019-07-03,completed
463,29,2019-07-04,returned
464,11,2019-07-05,shipped
465,62,2019-07-06,placed
466,18,2019-07-07,returned
467,79,2019-07-08,completed
468,86,2019-07-09,placed
469,22,2019-07-10,shipped
470,37,2019-07-11,completed
471,9,2019-07-12,returned
472,9,2019-07-13,shipped
473,39,2019-07-14,return_pending
474,82,2019-07-15,return_pending
475,16,2019-07-16,completed
476,20,2019-07-17,shipped
477,54,2019-07-18,completed
478,24,2019-07-19,returned
479,95,2019-07-20,returned
480,47,2019-07-21,shipped
481,22,2019-07-22,shipped
482,26,2019-07-23,placed
483,65,2019-07-24,completed
484,70,2019-07-25,return_pending
485,38,2019-07-26,placed
486,62,2019-07-27,shipped
487,34,2019-07-28,shipped
488,77,2019-07-29,return_pending
489,8,2019-07-30,placed
490,60,2019-07-31,placed
491,26,2019-08-02,placed
492,76,2019-08-03,returned
493,86,2019-08-04,placed
494,37,2019-08-05,shipped
495,86,2019-08-06,placed
496,54,2019-08-07,return_pending
497,81,2019-08-08,placed
498,63,2019-08-09,return_pending
499,68,2019-08-10,shipped
500,77,2019-08-11,completed
501,81,2019-08-12,shipped
502,96,2019-08-13,placed
503,84,2019-08-14,placed
504,89,2019-08-15,shipped
505,30,2019-08-16,shipped
506,6,2019-08-17,placed
507,82,2019-08-18,completed
508,5,2019-08-19,completed
509,22,2019-08-20,returned
510,26,2019-08-21,returned
511,1,2019-08-22,return_pending
512,31,2019-08-23,returned
513,53,2019-08-24,placed
514,91,2019-08-25,placed
515,45,2019-08-26,completed
516,86,2019-08-27,placed
517,7,2019-08-28,returned
518,31,2019-08-29,completed
519,58,2019-08-30,return_pending
520,72,2019-08-31,shipped
521,73,2019-09-01,placed
522,94,2019-09-02,shipped
523,97,2019-09-03,returned
524,91,2019-09-04,placed
525,89,2019-09-05,returned
526,72,2019-09-06,completed
527,23,2019-09-07,completed
528,3,2019-09-08,placed
529,46,2019-09-09,placed
530,10,2019-09-10,return_pending
531,88,2019-09-11,completed
532,10,2019-09-12,return_pending
533,78,2019-09-13,shipped
534,2,2019-09-14,returned
535,69,2019-09-15,placed
536,93,2019-09-16,shipped
537,81,2019-09-17,shipped
538,96,2019-09-18,shipped
539,35,2019-09-19,return_pending
540,31,2019-09-20,placed
541,14,2019-09-21,shipped
542,79,2019-09-22,return_pending
543,16,2019-09-23,placed
544,42,2019-09-24,placed
545,38,2019-09-25,returned
546,82,2019-09-26,completed
547,13,2019-09-27,completed
548,62,2019-09-28,placed
549,13,2019-09-29,return_pending
550,50,2019-09-30,completed
551,80,2019-10-01,shipped
552,2,2019-10-02,completed
553,56,2019-10-03,placed
554,70,2019-10-04,completed
555,35,2019-10-05,shipped
556,76,2019-10-06,completed
557,62,2019-10-07,completed
558,92,2019-10-08,shipped
559,97,2019-10-09,placed
560,45,2019-10-10,completed
561,42,2019-10-11,placed
562,71,2019-10-12,return_pending
563,29,2019-10-13,return_pending
564,28,2019-10-14,returned
565,49,2019-10-15,completed
566,100,2019-10-16,placed
567,27,2019-10-17,return_pending
568,88,2019-10-18,return_pending
569,5,2019-10-19,return_pending
570,73,2019-10-20,placed
571,14,2019-10-21,placed
572,69,2019-10-22,completed
573,92,2019-10-23,shipped
574,34,2019-10-24,returned
575,75,2019-10-25,shipped
576,96,2019-10-26,returned
577,67,2019-10-27,placed
578,39,2019-10-28,returned
579,16,2019-10-29,returned
580,6,2019-10-30,return_pending
581,76,2019-10-31,returned
582,33,2019-10-31,returned
583,2,2019-11-30,shipped
584,37,2019-12-30,shipped
585,2,2019-12-31,returned
586,77,2020-01-29,return_pending
587,10,2020-01-30,placed
588,24,2020-01-31,return_pending
589,31,2020-02-28,completed
590,32,2020-02-29,placed
591,35,2020-03-29,completed
592,52,2020-03-30,placed
593,81,2020-03-31,returned
